Date : 2021-12-07 08:45:00
Directory : e:\cxWorkspace\react_deep
Total : 71 files,  2537 codes, 379 comments, 322 blanks, all 3238 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| e:\cxWorkspace\react_deep\src\customHooks\useRouter.js                                                      | JavaScript |         16 |          0 |          1 |         17 |
| e:\cxWorkspace\react_deep\src\homeLayout.js                                                                 | JavaScript |          7 |          0 |          0 |          7 |
| e:\cxWorkspace\react_deep\src\index.css                                                                     | CSS        |         12 |          0 |          2 |         14 |
| e:\cxWorkspace\react_deep\src\index.js                                                                      | JavaScript |         17 |          0 |          1 |         18 |
| e:\cxWorkspace\react_deep\src\layout.js                                                                     | JavaScript |         19 |          0 |          2 |         21 |
| e:\cxWorkspace\react_deep\src\pages\css\animation\index.js                                                  | JavaScript |         44 |          0 |          1 |         45 |
| e:\cxWorkspace\react_deep\src\pages\css\animation\index.module.css                                          | CSS        |        232 |          6 |         52 |        290 |
| e:\cxWorkspace\react_deep\src\pages\css\img\index.js                                                        | JavaScript |         63 |         10 |          2 |         75 |
| e:\cxWorkspace\react_deep\src\pages\css\img\index.module.css                                                | CSS        |         51 |          1 |          6 |         58 |
| e:\cxWorkspace\react_deep\src\pages\css\index.js                                                            | JavaScript |         25 |          0 |          2 |         27 |
| e:\cxWorkspace\react_deep\src\pages\css\pseudoEle\index.js                                                  | JavaScript |         24 |          0 |          1 |         25 |
| e:\cxWorkspace\react_deep\src\pages\css\pseudoEle\index.module.css                                          | CSS        |         53 |          2 |          7 |         62 |
| e:\cxWorkspace\react_deep\src\pages\home\config.js                                                          | JavaScript |        112 |          0 |          0 |        112 |
| e:\cxWorkspace\react_deep\src\pages\home\index.js                                                           | JavaScript |         33 |          0 |          2 |         35 |
| e:\cxWorkspace\react_deep\src\pages\notFound\index.js                                                       | JavaScript |          5 |          0 |          0 |          5 |
| e:\cxWorkspace\react_deep\src\pages\routerShow\firstChild\index.js                                          | JavaScript |          7 |          0 |          0 |          7 |
| e:\cxWorkspace\react_deep\src\pages\routerShow\index.js                                                     | JavaScript |         23 |          0 |          2 |         25 |
| e:\cxWorkspace\react_deep\src\pages\routerShow\secondChild\firstChild\index.js                              | JavaScript |          8 |          0 |          0 |          8 |
| e:\cxWorkspace\react_deep\src\pages\routerShow\secondChild\index.js                                         | JavaScript |         21 |          0 |          2 |         23 |
| e:\cxWorkspace\react_deep\src\pages\routerShow\secondChild\secondChild\index.js                             | JavaScript |         17 |          0 |          2 |         19 |
| e:\cxWorkspace\react_deep\src\pages\useCallback\index.js                                                    | JavaScript |         32 |         46 |          6 |         84 |
| e:\cxWorkspace\react_deep\src\pages\useCallback\useCallback.md                                              | Markdown   |          0 |          0 |          1 |          1 |
| e:\cxWorkspace\react_deep\src\pages\useContext\provider\index.js                                            | JavaScript |         56 |         12 |          6 |         74 |
| e:\cxWorkspace\react_deep\src\pages\useContext\useContext.md                                                | Markdown   |         26 |          0 |          4 |         30 |
| e:\cxWorkspace\react_deep\src\pages\useContext\useStore\index.js                                            | JavaScript |         21 |          3 |          1 |         25 |
| e:\cxWorkspace\react_deep\src\pages\useEffect\index.js                                                      | JavaScript |         27 |          3 |          5 |         35 |
| e:\cxWorkspace\react_deep\src\pages\useEffect\order\index.js                                                | JavaScript |         43 |          7 |          2 |         52 |
| e:\cxWorkspace\react_deep\src\pages\useEffect\return\index.js                                               | JavaScript |         66 |         10 |          7 |         83 |
| e:\cxWorkspace\react_deep\src\pages\useEffect\useEffect.md                                                  | Markdown   |         75 |          0 |         26 |        101 |
| e:\cxWorkspace\react_deep\src\pages\useImperativeHandle\index.js                                            | JavaScript |         46 |         34 |          5 |         85 |
| e:\cxWorkspace\react_deep\src\pages\useImperativeHandle\useImperativeHandle.md                              | Markdown   |          0 |          0 |          1 |          1 |
| e:\cxWorkspace\react_deep\src\pages\useMemo\index.js                                                        | JavaScript |         24 |         16 |          6 |         46 |
| e:\cxWorkspace\react_deep\src\pages\useMemo\useMemo.md                                                      | Markdown   |          0 |          0 |          1 |          1 |
| e:\cxWorkspace\react_deep\src\pages\useReducer\advancedSearchShow\components\expert\config.js               | JavaScript |         41 |          0 |          0 |         41 |
| e:\cxWorkspace\react_deep\src\pages\useReducer\advancedSearchShow\components\expert\index.js                | JavaScript |         20 |          0 |          1 |         21 |
| e:\cxWorkspace\react_deep\src\pages\useReducer\advancedSearchShow\components\searchBox\index.js             | JavaScript |         26 |         16 |          3 |         45 |
| e:\cxWorkspace\react_deep\src\pages\useReducer\advancedSearchShow\components\searchBox\searchBody\index.js  | JavaScript |         10 |          0 |          1 |         11 |
| e:\cxWorkspace\react_deep\src\pages\useReducer\advancedSearchShow\components\searchBox\searchInput\index.js | JavaScript |         21 |          0 |          5 |         26 |
| e:\cxWorkspace\react_deep\src\pages\useReducer\advancedSearchShow\components\searchBox\searchLine\index.js  | JavaScript |         26 |          0 |          1 |         27 |
| e:\cxWorkspace\react_deep\src\pages\useReducer\advancedSearchShow\components\talent\config.js               | JavaScript |         37 |          0 |          0 |         37 |
| e:\cxWorkspace\react_deep\src\pages\useReducer\advancedSearchShow\components\talent\index.js                | JavaScript |         20 |          0 |          1 |         21 |
| e:\cxWorkspace\react_deep\src\pages\useReducer\advancedSearchShow\index.js                                  | JavaScript |         29 |          0 |          1 |         30 |
| e:\cxWorkspace\react_deep\src\pages\useReducer\advancedSearchShow\reducer\index.js                          | JavaScript |         21 |          1 |          0 |         22 |
| e:\cxWorkspace\react_deep\src\pages\useReducer\context\components\child1.js                                 | JavaScript |         41 |          0 |          1 |         42 |
| e:\cxWorkspace\react_deep\src\pages\useReducer\context\components\child2.js                                 | JavaScript |         40 |          0 |          1 |         41 |
| e:\cxWorkspace\react_deep\src\pages\useReducer\context\index.js                                             | JavaScript |         20 |          0 |          4 |         24 |
| e:\cxWorkspace\react_deep\src\pages\useReducer\context\initData\index.js                                    | JavaScript |          3 |          0 |          0 |          3 |
| e:\cxWorkspace\react_deep\src\pages\useReducer\context\init\index.js                                        | JavaScript |          3 |          0 |          0 |          3 |
| e:\cxWorkspace\react_deep\src\pages\useReducer\context\reducer\index.js                                     | JavaScript |         18 |          0 |          1 |         19 |
| e:\cxWorkspace\react_deep\src\pages\useReducer\noContext\index.js                                           | JavaScript |         60 |          0 |          4 |         64 |
| e:\cxWorkspace\react_deep\src\pages\useReducer\useReducer.md                                                | Markdown   |         38 |          8 |          6 |         52 |
| e:\cxWorkspace\react_deep\src\pages\useRef\inputRef\index.js                                                | JavaScript |         51 |          7 |          1 |         59 |
| e:\cxWorkspace\react_deep\src\pages\useRef\prevState\index.js                                               | JavaScript |         24 |          9 |          2 |         35 |
| e:\cxWorkspace\react_deep\src\pages\useRef\useRef.md                                                        | Markdown   |          8 |          0 |          5 |         13 |
| e:\cxWorkspace\react_deep\src\pages\useState\setState\index.js                                              | JavaScript |         20 |          7 |          1 |         28 |
| e:\cxWorkspace\react_deep\src\pages\useState\useState.md                                                    | Markdown   |         29 |          0 |         12 |         41 |
| e:\cxWorkspace\react_deep\src\router\config.js                                                              | JavaScript |        206 |         28 |          5 |        239 |
| e:\cxWorkspace\react_deep\src\router\index.js                                                               | JavaScript |        107 |         28 |         14 |        149 |
| e:\cxWorkspace\react_deep\src\router\react-router-dom(v6.x).md                                              | Markdown   |         97 |          0 |         38 |        135 |
| e:\cxWorkspace\react_deep\src\store\index.js                                                                | JavaScript |         11 |         12 |         14 |         37 |
| e:\cxWorkspace\react_deep\src\store\stores\app.js                                                           | JavaScript |         17 |          5 |          3 |         25 |
| e:\cxWorkspace\react_deep\src\store\stores\app2.js                                                          | JavaScript |          5 |          0 |          1 |          6 |
| Total                                                                                                       |            |      2,537 |        379 |        322 |      3,238 |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
